<<<<<<< HEAD
=======
111941.897308 72
111941.899932 72
111941.899950 72
111941.899960 72
111941.899962 72
111941.900418 72
111941.901177 72
111941.902243 72
111941.904503 73
111941.905627 73
111941.905653 73
111941.905656 73
111941.905658 73
111941.905661 73
111941.905663 73
111941.906752 73
111941.925575 73
111941.925977 73
111941.926011 73
111941.926020 73
111941.926023 73
111941.926032 73
111941.926583 73
111941.927758 73
111941.998285 71
111941.999499 71
111941.999518 71
111941.999521 71
111941.999524 71
111942.000106 71
111942.000542 71
111942.001165 71
111942.043231 71
111942.045354 71
111942.045384 71
111942.045387 71
111942.045389 71
111942.045391 71
111942.045399 71
111942.046716 71
111942.050960 72
111942.051555 72
111942.051572 72
111942.051575 72
111942.051578 72
111942.052036 72
111942.052534 72
111942.054094 72
111942.074713 72
111942.075154 72
111942.075193 72
111942.075198 72
111942.075200 72
111942.075599 72
111942.076179 72
111942.078174 72
111942.080053 71
111942.080430 71
111942.080442 71
111942.080445 71
111942.080961 71
111942.080969 71
111942.081349 71
111942.083362 73
111942.083546 73
111942.083574 73
111942.083584 73
111942.083834 73
111942.085228 73
111942.085255 73
111942.088689 71
111942.088708 73
111942.101666 71
111942.102494 71
111942.102512 71
111942.102514 71
111942.102516 71
111942.103914 71
111942.104930 71
111942.106273 71
111942.239010 73
111942.239034 73
111942.239037 73
111942.239039 73
111942.239048 73
111942.241077 73
111942.241096 73
111942.243848 73
111942.250164 73
111942.250186 73
111942.251550 73
111942.251570 73
111942.251573 73
111942.251590 73
111942.252367 73
111942.256018 73
111942.256022 73
111942.256039 73
111942.256041 73
111942.256044 73
111942.256334 73
111942.257152 73
111942.259939 73
111942.259956 73
111942.284183 72
111942.284204 72
111942.284207 72
111942.284209 72
111942.284673 72
111942.284683 72
111942.285724 72
111942.287568 72
111942.332472 72
111942.332503 72
111942.332507 72
111942.332509 72
111942.332511 72
111942.333069 72
111942.333758 72
111942.336259 72
111942.366155 72
111942.366199 72
111942.366202 72
111942.366205 72
111942.366207 72
111942.366209 72
111942.367366 72
111942.369051 72
111942.385431 71
111942.385460 71
111942.385463 71
111942.385466 71
111942.385474 71
111942.385836 71
111942.386595 71
111942.388422 71
111942.401316 72
111942.401340 72
111942.401343 72
111942.401346 72
111942.401348 72
111942.401927 72
111942.402889 72
111942.404359 72
111942.417486 73
111942.419642 73
111942.419679 73
111942.419683 73
111942.419685 73
111942.419688 73
111942.421023 73
111942.422475 73
111942.541817 72
111942.541833 72
111942.546051 72
111942.546082 72
111942.546085 72
111942.546096 72
111942.546099 72
111942.546101 72
111942.546103 72
111942.546106 72
111942.547413 72
111942.547424 72
111942.549817 72
111942.549824 72
111942.551713 72
111942.551729 72
111942.561590 73
111942.561600 73
111942.563275 73
111942.563293 73
111942.563296 73
111942.563298 73
111942.564553 73
111942.565394 73
111942.600374 72
111942.600394 72
111942.600397 72
111942.600400 72
111942.602374 72
111942.602385 72
111942.604116 72
111942.605411 72
111942.628717 72
111942.628744 72
111942.631604 72
111942.631637 72
111942.631640 72
111942.631642 72
111942.632712 72
