<<<<<<< HEAD
=======
111941.899287 72
111941.903785 73
111941.909224 72
111941.909242 73
111941.910483 72
111941.910781 73
111941.924301 73
111941.929307 73
111941.929956 73
111941.998759 71
111942.003439 71
111942.004227 71
111942.045304 71
111942.049804 71
111942.051181 72
111942.055665 72
111942.055841 71
111942.056043 72
111942.074484 72
111942.078710 72
111942.080844 71
111942.084235 73
111942.088856 71
111942.088865 73
111942.089828 72
111942.090172 71
111942.090375 73
111942.101973 71
111942.102977 71
111942.107073 71
111942.237029 73
111942.239733 73
111942.241888 73
111942.250517 73
111942.253369 73
111942.254458 73
111942.258855 73
111942.260699 73
111942.260833 73
111942.282403 72
111942.282951 72
111942.286937 72
111942.330656 72
111942.333947 72
111942.336991 72
111942.365667 72
111942.368340 72
111942.370334 72
111942.384012 71
111942.387207 71
111942.389228 71
111942.400285 72
111942.400296 72
111942.403399 72
111942.417760 73
111942.420793 73
111942.424055 73
111942.542621 72
111942.543638 72
111942.545869 72
111942.548910 72
111942.553084 72
111942.553375 72
111942.560951 73
111942.563656 73
111942.566348 73
111942.601940 72
111942.601953 72
111942.605349 72
111942.629065 72
111942.630968 72
111942.634988 72
111942.654763 73
111942.654789 73
111942.658880 73
111942.659429 73
111942.663458 73
111942.663634 73
111942.690528 73
111942.690541 73
111942.692842 73
111942.735625 73
111942.735637 73
111942.738597 73
111942.839867 72
111942.840601 72
111942.844162 72
111942.845355 73
111942.845365 73
111942.849050 73
111942.928360 72
111942.929353 72
111942.929615 72
111942.950204 73
111942.950821 73
111942.953228 73
111943.096582 71
111943.096629 71
111943.102024 71
111943.102036 71
111943.102039 71
111943.105387 70
111943.105408 71
111943.106640 70
111943.109426 70
111943.144403 72
111943.144968 72
111943.146779 72
111943.152515 73
111943.152783 73
111943.153265 73
111943.174829 71
111943.177690 71
111943.179005 71
111943.263352 72
111943.266885 72
111943.269550 72
111943.271234 71
111943.273345 71
111943.273479 71
111943.303645 72
111943.304784 72
111943.306652 72
111943.311525 72
111943.311535 72
111943.313221 73
111943.314894 73
111943.318862 72
111943.318898 73
111943.323986 71
111943.324792 71
111943.325061 71
111943.327157 73
111943.328714 73
111943.331638 73
111943.480126 71
111943.480138 71
111943.482579 71
111943.507982 74
