<<<<<<< HEAD
=======
111941.901855 72
111941.901879 72
111941.902212 72
111941.903359 73
111941.903370 73
111941.906104 73
111941.908747 72
111941.908796 73
111941.923695 73
111941.924187 73
111941.924876 73
111941.928820 73
111941.999291 71
111942.001143 71
111942.003462 71
111942.003635 71
111942.044277 71
111942.046023 71
111942.047249 71
111942.047964 71
111942.051524 72
111942.053240 72
111942.053596 72
111942.054532 72
111942.076319 72
111942.076897 72
111942.077641 72
111942.078345 72
111942.082305 71
111942.082317 71
111942.082850 71
111942.083192 73
111942.084384 73
111942.086336 73
111942.086603 71
111942.086620 73
111942.103410 71
111942.105470 71
111942.106219 71
111942.107399 71
111942.234639 73
111942.237956 73
111942.237983 73
111942.243026 73
111942.251257 73
111942.252277 73
111942.252290 73
111942.254699 73
111942.256846 73
111942.256856 73
111942.258037 73
111942.258189 73
111942.283325 72
111942.285251 72
111942.285256 72
111942.286828 72
111942.330403 72
111942.331760 72
111942.334701 72
111942.335163 72
111942.364767 72
111942.365902 72
111942.365914 72
111942.369421 72
111942.383501 71
111942.384467 71
111942.387561 71
111942.387574 71
111942.400171 72
111942.400182 72
111942.401785 72
111942.402448 72
111942.418067 73
111942.418473 73
111942.420308 73
111942.420938 73
111942.542249 72
111942.543193 72
111942.545206 72
111942.545740 72
111942.548820 72
111942.548884 72
111942.549706 72
111942.549714 72
111942.562085 73
111942.562961 73
111942.564032 73
111942.564126 73
111942.599704 72
111942.602292 72
111942.602304 72
111942.603272 72
111942.630143 72
111942.630934 72
111942.631452 72
111942.633098 72
111942.653469 73
111942.655492 73
111942.655504 73
111942.656230 73
111942.657915 73
111942.659591 73
111942.659602 73
111942.660760 73
111942.688436 73
111942.688449 73
111942.691042 73
111942.691940 73
111942.736512 73
111942.736835 73
111942.738697 73
111942.738809 73
111942.839411 72
111942.842427 72
111942.842458 72
111942.845556 73
111942.845982 73
111942.846176 73
111942.848753 72
111942.848762 73
111942.930704 72
111942.930744 72
111942.932268 72
111942.932879 72
111942.950029 73
111942.950723 73
111942.951457 73
111942.953796 73
111943.099321 71
111943.099333 71
111943.099363 71
111943.101007 71
111943.101011 71
111943.101020 71
111943.101028 71
111943.102568 71
111943.107130 70
111943.107754 70
111943.108375 70
111943.108384 70
111943.143362 72
111943.143376 72
111943.145458 72
111943.145474 72
111943.151497 73
111943.152677 73
111943.153135 73
111943.153916 73
111943.175092 71
111943.177617 71
111943.177945 71
111943.177969 71
111943.264771 72
111943.264786 72
111943.267305 72
111943.268371 72
111943.272922 71
111943.272932 71
111943.273457 71
111943.274063 71
111943.302155 72
111943.304829 72
111943.304847 72
111943.305096 72
111943.311142 72
111943.311155 72
111943.313286 72
111943.315595 73
111943.316391 73
111943.316753 72
111943.316762 73
111943.316777 73
111943.323071 71
111943.324887 71
111943.324919 71
111943.325796 71
111943.326721 73
111943.328947 73
111943.330058 73
111943.330289 73
111943.480292 71
111943.480304 71
111943.481407 71
111943.484014 71
111943.507000 74
111943.508259 74
111943.508276 74
111943.508497 74
111943.526779 72
111943.526794 72
111943.526797 72
111943.528417 71
111943.530391 71
111943.530747 72
111943.530756 71
111943.530765 71
111943.569130 71
111943.569154 71
111943.570543 71
111943.571084 71
111943.582912 73
111943.582923 73
111943.584429 73
111943.586652 70
111943.586664 70
111943.588798 73
111943.588807 70
111943.589831 70
111943.612913 73
111943.612924 73
111943.614760 73
111943.615708 73
111943.631583 72
111943.634502 72
111943.634516 72
111943.634519 72
111943.714162 71
111943.714178 71
111943.714181 71
111943.715518 71
111943.730459 73
111943.733110 73
111943.733121 73
111943.734377 73
111943.738460 73
111943.738471 73
111943.739548 73
111943.740294 73
111943.790051 72
111943.790064 72
111943.790718 72
111943.792166 72
111943.858149 71
111943.860699 71
111943.860711 71
111943.862909 71
111943.930040 73
111943.930053 73
111943.931663 73
111943.932317 73
111943.974390 72
111943.974409 72
111943.976083 72
111943.977151 72
111943.992616 71
111943.996244 71
111943.996254 71
111943.996673 71
111944.001315 70
111944.001338 70
111944.002984 70
111944.003591 70
111944.015168 71
111944.015180 71
111944.017602 71
111944.018216 71
111944.054147 72
111944.054159 72
111944.055877 72
111944.056438 72
111944.296441 71
111944.299226 71
111944.299268 71
111944.299272 71
111944.311294 74
111944.311309 74
111944.311312 74
111944.312057 74
111944.378830 69
111944.378850 69
111944.380255 69
111944.381863 69
111944.439475 70
111944.439497 70
111944.439500 70
111944.439502 70
111944.563550 72
111944.563907 72
111944.564543 72
111944.564914 72
111944.720027 73
111944.720039 73
111944.721368 73
111944.721942 73
111944.729340 71
111944.729349 71
111944.730602 71
111944.731181 71
111944.798313 72
111944.798371 72
111944.798376 72
111944.800579 72
111944.825310 73
111944.826661 73
111944.826672 73
111944.827652 73
111945.082096 72
111945.083896 72
111945.083906 72
111945.086389 72
111945.138013 71
111945.138039 71
111945.138042 71
111945.144170 71
111945.180377 73
111945.182406 73
111945.182990 73
111945.183007 73
111945.237083 73
111945.238641 73
111945.239370 73
111945.239595 73
111945.242813 71
111945.245176 71
111945.246130 71
111945.246141 71
111945.412385 72
111945.415706 72
111945.417473 72
111945.418124 72
111945.487539 71
111945.487551 71
111945.489590 71
111945.493378 71
111945.593106 71
111945.593123 71
111945.593126 71
111945.595338 71
111945.604285 72
111945.604300 72
111945.604314 72
111945.606909 72
111945.657356 72
111945.660357 72
111945.661330 72
111945.661678 72
111945.974725 71
111945.976651 71
111945.977736 71
111945.979141 71
111945.983580 73
111945.985259 73
111945.985290 73
111945.986061 73
111946.012352 71
111946.016167 71
111946.016178 71
111946.016438 71
111946.133944 73
111946.133972 73
111946.133976 73
111946.137794 73
111946.177462 69
111946.179241 69
111946.179252 69
111946.179824 69
111946.181707 73
111946.182888 73
111946.184201 73
111946.184211 73
111946.234299 74
111946.234316 74
111946.234318 74
111946.235101 74
111946.312130 73
111946.316357 73
111946.316379 73
