<<<<<<< HEAD
=======
111941.907650 72
111941.907676 73
111941.907703 72
111941.907706 73
111941.907718 72
111941.907721 73
111941.907723 72
111941.907725 73
111941.907728 72
111941.907730 73
111941.910938 72
111941.910943 73
111941.928191 73
111941.928214 73
111941.928227 73
111941.928230 73
111941.928232 73
111941.930101 73
111942.001803 71
111942.001833 71
111942.001836 71
111942.001839 71
111942.003125 71
111942.004362 71
111942.048239 71
111942.048279 71
111942.048283 71
111942.048285 71
111942.048287 71
111942.054390 72
111942.054415 72
111942.054417 72
111942.054420 72
111942.054422 72
111942.056226 71
111942.056231 72
111942.077467 72
111942.077512 72
111942.077524 72
111942.077527 72
111942.077530 72
111942.082011 71
111942.082029 71
111942.082032 71
111942.082034 71
111942.086092 73
111942.086114 73
111942.086117 73
111942.086119 73
111942.086122 71
111942.086434 73
111942.090425 72
111942.090432 71
111942.090435 73
111942.104279 71
111942.104306 71
111942.104309 71
111942.104312 71
111942.105166 71
111942.107231 71
111942.241487 73
111942.241514 73
111942.241562 73
111942.241573 73
111942.242143 73
111942.242579 73
111942.252598 73
111942.252646 73
111942.252652 73
111942.252654 73
111942.252657 73
111942.256629 73
111942.256651 73
111942.256653 73
111942.256656 73
111942.256658 73
111942.260943 73
111942.260951 73
111942.285017 72
111942.285053 72
111942.285057 72
111942.285059 72
111942.285062 72
111942.285834 72
111942.329263 72
111942.333282 72
111942.333299 72
111942.333301 72
111942.333814 72
111942.337173 72
111942.367040 72
111942.367060 72
111942.367063 72
111942.367065 72
111942.367074 72
111942.370385 72
111942.383263 71
111942.386082 71
111942.386100 71
111942.386109 71
111942.386111 71
111942.389415 71
111942.402343 72
111942.402367 72
111942.402370 72
111942.402372 72
111942.402375 72
111942.403546 72
111942.420155 73
111942.420178 73
111942.420194 73
111942.420197 73
111942.420208 73
111942.424212 73
111942.544488 72
111942.544522 72
111942.544539 72
111942.544542 72
111942.544544 72
111942.547207 72
111942.547229 72
111942.547232 72
111942.547234 72
111942.547236 72
111942.553318 72
111942.553326 72
111942.562342 73
111942.562354 73
111942.563123 73
111942.563144 73
111942.563760 73
111942.566499 73
111942.600711 72
111942.600731 72
111942.602326 72
111942.602337 72
111942.602742 72
111942.605385 72
111942.629864 72
111942.629877 72
111942.630999 72
111942.631010 72
111942.631496 72
111942.634898 72
111942.653227 73
111942.653246 73
111942.655547 73
111942.655564 73
111942.655567 73
111942.657668 73
111942.659450 73
111942.659477 73
111942.659480 73
111942.659488 73
111942.663358 73
111942.663706 73
111942.688103 73
111942.688115 73
111942.691065 73
111942.691075 73
111942.691575 73
111942.692904 73
111942.735978 73
111942.735994 73
111942.735997 73
111942.737038 73
111942.737073 73
111942.738848 73
111942.838065 72
111942.842965 72
111942.842999 72
111942.843003 72
111942.843395 72
111942.845766 73
111942.845781 73
111942.845784 72
111942.848196 73
111942.848214 73
111942.848217 73
111942.849141 73
111942.929136 72
111942.933357 72
111942.933419 72
111942.933424 72
111942.933427 72
111942.933429 72
111942.949569 73
111942.951548 73
111942.951564 73
111942.951567 73
111942.952514 73
111942.953327 73
111943.097406 71
111943.097426 71
111943.097429 71
111943.097432 71
111943.100497 71
111943.100515 71
111943.101889 71
111943.101903 71
111943.101906 71
111943.102883 71
111943.105534 70
111943.105565 71
111943.105569 71
111943.107935 70
111943.107950 70
111943.107953 70
111943.109265 70
111943.109467 70
111943.142789 72
111943.142801 72
111943.145364 72
111943.145384 72
111943.145387 72
111943.146821 72
111943.152124 73
111943.152142 73
111943.152145 73
111943.152148 73
111943.153388 73
111943.153398 73
111943.176764 71
111943.176792 71
111943.176803 71
111943.178222 71
111943.178245 71
111943.179106 71
111943.264919 72
111943.267088 72
111943.267110 72
111943.267114 72
111943.267361 72
111943.269618 72
111943.271651 71
111943.271661 71
111943.273598 71
111943.273631 71
111943.273636 71
111943.273639 71
111943.302463 72
111943.302480 72
111943.302490 72
111943.305154 72
111943.305165 72
111943.306808 72
111943.311854 72
111943.311882 72
111943.311886 72
111943.311888 72
111943.313644 73
111943.313655 72
111943.313658 73
111943.316255 73
111943.316261 73
111943.316268 73
111943.319013 72
111943.319021 73
111943.324982 71
111943.325018 71
111943.325022 71
111943.325024 71
111943.325029 71
111943.325031 71
111943.327686 73
111943.329984 73
111943.330023 73
111943.330026 73
111943.330029 73
111943.331478 73
111943.477750 71
111943.481929 71
111943.481954 71
111943.481974 71
111943.482945 71
111943.483527 71
111943.506155 74
111943.508210 74
111943.508229 74
111943.508232 74
111943.508234 74
111943.510197 74
111943.524720 72
111943.527784 72
111943.527818 72
111943.527822 72
111943.527824 72
111943.527920 71
111943.530938 71
111943.530961 71
111943.530964 71
111943.530967 71
111943.533175 72
111943.533392 71
111943.569427 71
111943.569464 71
111943.569468 71
111943.569470 71
111943.569473 71
111943.571718 71
111943.581793 73
111943.584135 73
111943.584158 73
111943.584161 73
111943.584163 73
111943.585103 73
111943.585925 70
111943.587737 70
111943.587755 70
111943.587758 70
111943.587760 70
111943.590644 70
111943.611828 73
111943.614123 73
111943.614168 73
111943.614172 73
111943.614174 73
111943.616210 73
111943.633532 72
111943.633546 72
111943.633549 72
111943.634445 72
111943.635052 72
111943.636197 72
111943.712126 71
111943.712139 71
111943.714831 71
111943.714889 71
111943.714905 71
111943.714908 71
111943.730362 73
111943.733620 73
111943.733640 73
111943.733643 73
111943.733645 73
111943.735318 73
111943.737049 73
111943.739745 73
111943.739763 73
111943.739772 73
111943.739774 73
111943.741480 73
111943.787617 72
111943.791487 72
111943.791516 72
111943.791526 72
111943.791529 72
111943.793164 72
111943.861330 71
111943.861355 71
111943.861358 71
111943.861361 71
111943.861363 71
111943.863768 71
111943.929654 73
111943.929677 73
111943.929680 73
111943.931998 73
111943.932010 73
111943.933462 73
111943.973882 72
111943.973909 72
111943.973912 72
111943.975932 72
111943.975940 72
111943.977212 72
111943.993096 71
111943.993108 71
111943.995256 71
111943.995292 71
111943.995305 71
111943.997262 71
111944.000465 70
111944.002898 70
111944.002917 70
111944.002920 70
111944.002922 70
111944.004809 70
111944.016561 71
111944.016583 71
111944.016586 71
111944.017459 71
111944.017469 71
111944.019197 71
111944.054909 72
111944.054926 72
111944.054929 72
111944.054938 72
111944.055934 72
111944.056726 72
111944.296115 71
111944.299787 71
111944.299808 71
111944.299811 71
111944.299814 71
111944.301599 71
111944.310007 74
111944.310022 74
111944.310024 74
111944.312271 74
111944.312286 74
111944.312289 74
111944.378405 69
111944.378437 69
111944.378448 69
111944.381158 69
111944.381172 69
111944.383261 69
111944.436526 70
111944.439604 70
111944.439670 70
111944.439674 70
111944.439677 70
111944.442651 70
111944.560659 72
111944.563053 72
111944.563072 72
111944.563075 72
111944.563077 72
111944.566226 72
111944.717438 73
111944.721093 73
111944.721117 73
111944.721120 73
111944.721122 73
111944.723883 73
111944.729869 71
111944.729898 71
111944.729902 71
111944.729905 71
111944.731012 71
111944.732504 71
111944.797840 72
111944.797852 72
111944.799778 72
111944.799831 72
111944.799835 72
111944.799838 72
111944.823709 73
111944.823723 73
111944.827755 73
111944.827776 73
111944.827778 73
111944.827781 73
111945.083010 72
111945.083023 72
111945.084678 72
111945.084692 72
111945.085630 72
111945.087873 72
111945.137731 71
111945.140858 71
111945.140874 71
111945.140876 71
111945.142975 71
111945.142989 71
111945.180064 73
111945.180119 73
111945.180123 73
111945.180126 73
111945.182646 73
111945.183911 73
111945.237354 73
111945.237385 73
111945.237389 73
111945.237391 73
111945.239229 73
111945.241045 73
111945.242947 71
111945.242951 71
111945.242971 71
111945.245146 71
111945.245157 71
111945.246473 71
111945.413399 72
111945.413445 72
111945.413450 72
111945.416542 72
111945.416553 72
111945.418689 72
111945.487224 71
111945.487242 71
111945.488903 71
111945.488914 71
111945.490200 71
111945.491815 71
111945.593426 71
111945.593444 71
111945.593447 71
111945.594276 71
111945.594287 71
111945.596541 71
111945.603625 72
111945.603643 72
111945.603646 72
111945.603649 72
111945.605900 72
111945.605911 72
111945.658488 72
111945.658500 72
111945.660433 72
111945.660468 72
111945.660473 72
111945.662822 72
111945.973317 71
111945.973335 71
111945.973371 71
111945.975220 71
111945.976450 71
111945.977922 71
111945.982716 73
111945.985739 73
111945.985763 73
111945.985767 73
111945.985769 73
111945.987106 73
111946.015243 71
111946.015264 71
111946.015267 71
111946.015269 71
111946.015278 71
111946.017722 71
111946.136040 73
111946.136079 73
111946.136104 73
111946.136125 73
111946.136128 73
111946.139517 73
111946.178448 69
111946.178479 69
111946.178483 69
111946.178486 69
111946.179511 69
111946.181039 73
111946.183445 73
111946.183466 73
111946.183469 73
111946.184250 73
111946.186170 69
111946.186328 73
111946.232068 74
111946.232080 74
111946.235168 74
111946.235193 74
111946.235196 74
111946.235199 74
111946.313264 73
111946.313279 73
111946.316554 73
111946.316571 73
111946.316574 73
111946.318167 73
111946.452199 72
111946.453933 72
111946.453968 72
111946.453971 72
111946.454275 72
111946.455733 72
111946.544424 73
111946.547909 73
111946.547936 73
111946.547939 73
111946.547941 73
111946.550619 73
111946.582572 72
111946.586126 72
111946.586146 72
111946.586149 72
111946.586151 72
111946.588106 72
111946.622735 72
111946.622765 72
111946.622769 72
111946.622772 72
111946.622781 72
111946.626118 72
111946.670900 72
111946.670940 72
111946.670944 72
111946.670947 72
111946.670949 72
111946.674015 72
111946.731494 72
111946.734635 72
111946.734677 72
111946.734682 72
111946.734690 72
111946.737458 72
111946.815591 72
111946.815703 72
111946.820468 72
111946.820501 72
111946.820506 72
111946.821135 72
111946.864809 73
111946.864924 73
111946.864934 73
111946.864937 73
111946.864947 73
111946.864950 73
111946.864952 73
111946.864954 73
111946.867911 73
111946.867922 73
111946.870594 73
111946.870602 73
111946.891213 73
111946.891223 73
111946.892987 73
111946.893010 73
111946.893013 73
111946.893015 73
111946.957264 73
111946.957292 73
111946.960103 73
111946.960126 73
111946.960130 73
111946.962597 73
111946.984450 73
111946.986877 73
111946.986897 73
111946.986900 73
111946.986902 73
111946.989137 73
111947.082766 73
111947.082779 73
111947.084526 73
111947.084567 73
111947.084578 73
111947.086868 73
111947.134319 72
111947.134345 72
111947.134348 72
111947.134350 72
111947.134353 72
111947.137377 72
111947.175169 73
111947.175176 71
111947.175195 73
111947.179198 73
111947.179211 71
111947.179255 71
111947.179259 73
111947.179262 71
111947.179264 73
111947.179266 71
111947.182721 73
111947.182755 71
111947.185428 73
111947.185447 73
111947.185450 73
111947.185452 73
111947.186886 73
111947.188712 73
111947.251254 73
111947.251271 73
111947.251274 73
111947.253340 73
111947.253352 73
111947.256266 73
111947.308589 73
111947.308633 73
111947.308640 73
111947.308650 73
111947.310997 73
111947.312765 73
111947.379341 71
111947.381979 71
111947.381996 71
111947.381999 71
111947.382309 71
111947.384831 71
111947.470931 73
111947.473783 73
111947.473845 73
111947.473851 73
111947.473853 73
111947.477008 73
111947.494625 73
111947.494668 73
111947.494675 73
111947.494699 73
111947.496835 73
111947.498220 73
111947.504156 73
111947.504168 73
111947.506300 73
111947.506306 73
111947.506313 73
111947.508059 73
111947.538992 72
111947.539025 72
111947.539029 72
111947.539031 72
111947.540179 72
111947.541746 72
111947.576345 72
111947.576358 72
111947.580168 72
111947.580188 72
111947.580191 72
111947.580193 72
111947.620027 71
111947.620049 71
111947.622324 71
111947.622342 71
111947.623285 71
111947.625574 71
111947.737133 73
111947.738385 73
111947.738423 73
111947.738428 73
111947.739347 73
111947.742796 73
111947.767124 70
111947.767135 70
111947.769687 70
111947.769702 70
111947.769704 70
111947.771703 70
111947.813862 73
111947.816330 73
111947.816389 73
111947.816398 73
111947.816401 73
111947.819846 73
111947.825019 73
111947.828675 73
111947.828695 73
111947.828698 73
111947.828700 73
111947.829560 73
111947.874159 73
111947.874172 73
111947.876267 73
111947.876299 73
111947.876310 73
111947.878204 73
111947.975442 72
111947.975454 72
111947.977842 72
111947.977881 72
111947.979959 72
111947.980380 72
111948.001727 71
111948.001751 71
111948.001755 71
111948.001757 71
111948.003264 71
111948.004431 71
111948.053407 73
111948.057147 73
111948.057170 73
111948.057173 73
111948.057175 73
111948.059361 73
111948.222470 73
111948.225842 73
111948.225883 73
111948.225888 73
111948.225890 73
111948.228184 73
111948.359594 73
111948.359635 73
111948.362278 73
111948.362311 73
111948.362320 73
111948.364243 73
111948.374184 72
111948.374198 72
111948.376396 72
111948.376419 72
111948.376422 72
111948.377868 72
111948.380268 72
111948.383137 72
111948.383165 72
111948.383168 72
111948.383170 72
111948.383173 72
111948.430308 72
111948.433231 72
111948.433268 72
111948.433278 72
111948.433537 72
111948.435467 72
111948.471275 73
111948.471288 73
111948.474022 73
111948.474050 73
111948.474054 73
111948.475741 73
111948.488711 74
111948.491338 74
111948.491378 74
111948.491383 74
111948.491385 74
111948.492324 74
111948.519051 72
111948.519063 72
111948.522330 72
111948.522392 72
111948.522396 72
111948.525022 72
111948.525093 72
111948.525096 71
111948.525099 72
111948.528391 71
111948.528450 72
111948.528455 71
111948.528457 72
111948.528460 71
111948.528462 71
111948.530780 72
111948.530788 72
111948.531120 71
111948.570151 73
111948.570163 73
111948.570173 73
111948.571923 73
111948.573223 73
111948.573249 73
111948.633714 72
111948.637545 72
111948.637563 72
111948.637566 72
111948.640106 73
111948.640139 73
111948.640143 72
111948.640146 73
111948.640148 73
111948.641118 73
111948.643502 72
111948.643510 73
111948.729396 74
111948.729413 74
111948.729416 74
111948.731146 74
111948.731163 74
111948.734342 74
111948.831088 72
111948.831105 72
111948.831108 72
111948.832884 72
111948.832902 72
111948.837166 72
111948.846914 72
111948.846942 72
111948.846945 72
111948.846947 72
111948.846960 72
111948.851950 71
111948.851978 71
111948.851982 71
111948.851984 71
111948.851986 71
111948.851988 72
111948.853033 71
111948.889903 72
111948.889934 72
111948.889937 72
111948.889939 72
111948.889941 72
111948.889943 72
111948.924898 73
111948.924920 73
111948.924923 73
111948.926140 73
111948.926152 73
111948.927323 73
111948.959181 72
111948.959198 72
111948.959201 72
111948.961323 72
111948.961334 72
111948.963021 72
111948.965209 73
111948.966768 73
111948.966784 73
111948.966787 73
111948.967364 73
111948.970383 73
111948.970432 73
111948.970437 73
111948.970439 73
111948.970441 73
111948.972978 73
111948.973227 73
111948.976169 73
111948.976180 73
111948.977868 73
111948.977892 73
111948.977895 73
111948.979086 73
111949.189778 72
111949.189784 70
111949.189796 70
111949.189798 72
111949.193782 70
111949.193787 72
111949.193825 72
111949.193829 70
111949.193831 72
111949.193833 70
111949.196766 72
111949.196772 70
111949.203906 73
111949.209255 73
111949.209286 73
111949.209289 73
111949.209292 73
111949.209736 73
111949.353643 71
111949.357839 71
111949.357910 71
111949.357915 71
111949.357917 71
111949.358242 71
111949.400090 73
111949.400108 73
111949.400111 73
111949.401957 73
111949.401961 73
111949.401977 73
111949.401980 73
111949.401982 73
111949.403425 73
111949.403440 73
111949.403443 73
111949.408947 73
111949.507176 72
111949.507213 72
111949.507217 72
111949.507219 72
111949.507222 72
111949.510278 72
111949.650458 73
111949.650477 73
111949.650480 73
111949.651850 73
111949.651998 73
111949.655979 73
111949.730712 71
111949.730846 71
111949.730849 72
111949.735684 72
111949.735755 72
111949.735760 71
111949.735762 71
111949.735765 72
111949.735767 71
111949.735769 72
111949.738190 72
111949.738293 72
111949.738296 72
