<<<<<<< HEAD
=======
111941.899097 72
111941.899908 72
111941.903649 73
111941.905325 73
111941.908533 72
111941.908541 73
111941.909273 72
111941.909279 73
111941.910617 72
111941.910832 73
111941.924750 73
111941.925131 73
111941.928849 73
111941.929359 73
111941.930050 73
111941.997764 71
111941.998791 71
111942.002575 71
111942.003569 71
111942.004284 71
111942.045504 71
111942.045852 71
111942.049021 71
111942.049841 71
111942.051934 72
111942.052107 72
111942.055156 72
111942.055638 72
111942.056090 71
111942.056101 72
111942.075065 72
111942.075239 72
111942.078635 72
111942.078658 72
111942.080395 71
111942.080907 71
111942.084496 73
111942.084828 73
111942.087712 71
111942.087740 73
111942.088919 71
111942.088927 73
111942.090045 72
111942.090218 71
111942.090354 73
111942.102149 71
111942.102443 71
111942.102463 71
111942.105525 71
111942.107209 71
111942.237792 73
111942.238284 73
111942.239778 73
111942.241840 73
111942.243070 73
111942.250656 73
111942.250869 73
111942.253451 73
111942.255536 73
111942.255691 73
111942.257640 73
111942.257650 73
111942.258896 73
111942.260674 73
111942.260786 73
111942.282288 72
111942.283375 72
111942.283386 72
111942.286265 72
111942.287054 72
111942.331010 72
111942.331222 72
111942.333883 72
111942.334588 72
111942.337117 72
111942.364547 72
111942.364820 72
111942.367620 72
111942.368401 72
111942.370290 72
111942.383942 71
111942.384448 71
111942.386843 71
111942.387243 71
111942.389356 71
111942.399818 72
111942.399842 72
111942.399846 72
111942.403139 72
111942.403578 72
111942.419556 73
111942.419569 73
111942.420840 73
111942.421338 73
111942.424023 73
111942.542487 72
111942.543171 72
111942.543698 72
111942.545377 72
111942.545764 72
111942.548157 72
111942.548167 72
111942.548936 72
111942.553133 72
111942.553258 72
111942.560780 73
111942.560790 73
111942.563052 73
111942.563699 73
111942.566450 73
111942.601041 72
111942.602233 72
111942.602244 72
111942.603563 72
111942.605432 72
111942.628442 72
111942.631271 72
111942.631300 72
111942.631314 72
111942.634933 72
111942.654379 73
111942.654390 73
111942.655317 73
111942.655458 73
111942.659027 73
111942.659037 73
111942.660408 73
111942.660427 73
111942.663405 73
111942.663559 73
111942.689369 73
111942.689381 73
111942.690952 73
111942.690963 73
111942.692864 73
111942.734012 73
111942.736897 73
111942.736915 73
111942.736918 73
111942.738769 73
111942.839579 72
111942.842505 72
111942.842557 72
111942.842562 72
111942.844515 72
111942.846120 73
111942.846142 73
111942.846146 73
111942.848080 73
111942.849119 73
111942.929545 72
111942.929557 72
111942.929566 72
111942.933468 72
111942.933482 72
111942.950493 73
111942.950505 73
111942.951048 73
111942.953255 73
111942.953267 73
111943.097738 71
111943.097760 71
111943.097762 71
111943.097765 71
111943.101736 71
111943.101748 71
111943.103017 71
111943.104154 71
111943.104167 71
111943.107857 70
111943.107892 70
111943.107896 70
111943.107899 71
111943.109207 70
111943.109492 70
111943.144506 72
111943.144517 72
111943.145209 72
111943.145874 72
111943.146857 72
111943.150274 73
111943.150284 73
111943.152913 73
111943.152943 73
111943.152947 73
111943.175495 71
111943.177641 71
111943.177651 71
111943.177659 71
111943.179031 71
111943.263562 72
111943.266683 72
111943.266726 72
111943.266731 72
111943.269665 72
111943.270969 71
111943.270989 71
111943.274102 71
111943.274117 71
111943.274119 71
111943.302314 72
111943.304881 72
111943.304918 72
111943.304922 72
111943.306990 72
111943.312319 72
111943.312334 72
111943.312337 72
111943.312356 72
111943.316010 73
111943.316028 73
111943.316031 73
111943.316033 73
111943.319069 72
111943.319076 73
111943.323614 71
111943.323630 71
111943.323633 71
111943.325081 71
111943.325091 71
111943.327375 73
111943.329193 73
111943.329211 73
111943.329219 73
111943.331526 73
111943.479990 71
111943.480006 71
111943.480009 71
111943.481282 71
111943.482638 71
111943.507631 74
111943.507663 74
111943.507666 74
111943.507669 74
111943.510219 74
111943.525331 72
111943.525344 72
111943.527350 72
111943.527360 72
111943.529405 71
111943.529419 71
111943.529427 71
111943.529454 71
111943.533131 72
111943.533313 71
111943.567342 71
111943.567353 71
111943.569835 71
111943.569846 71
111943.571785 71
111943.581394 73
111943.581406 73
111943.584683 73
111943.584687 70
111943.584705 73
111943.584709 73
111943.587838 70
111943.587858 70
111943.587861 70
111943.590671 70
111943.611305 73
111943.614287 73
111943.614302 73
111943.614305 73
111943.616137 73
111943.632251 72
111943.632263 72
111943.634725 72
111943.634738 72
111943.636245 72
111943.711645 71
111943.715214 71
111943.715249 71
111943.715258 71
111943.715261 71
111943.732483 73
111943.732499 73
111943.732502 73
111943.733399 73
111943.735124 73
111943.738263 73
111943.738273 73
111943.738281 73
