<<<<<<< HEAD
=======
111941.900253 72
111941.900284 72
111941.900287 72
111941.900289 72
111941.900298 72
111941.902492 72
111941.902508 72
111941.902511 72
111941.905897 73
111941.905923 73
111941.905926 73
111941.905928 73
111941.905930 73
111941.905932 73
111941.906260 73
111941.907237 73
111941.925294 73
111941.925305 73
111941.926709 73
111941.926768 73
111941.926772 73
111941.926775 73
111941.926777 73
111941.927251 73
111941.999951 71
111941.999980 71
111941.999983 71
111942.000024 71
111942.000028 71
111942.000030 71
111942.000040 71
111942.001253 71
111942.045106 71
111942.045142 71
111942.045146 71
111942.045148 71
111942.045164 71
111942.046781 71
111942.046796 71
111942.046798 71
111942.050623 72
111942.052199 72
111942.052234 72
111942.052238 72
111942.052241 72
111942.052250 72
111942.053319 72
111942.054121 72
111942.075430 72
111942.075450 72
111942.075461 72
111942.075876 72
111942.075891 72
111942.075894 72
111942.076981 72
111942.077746 72
111942.080689 71
111942.080709 71
111942.080712 71
111942.080720 71
111942.080998 71
111942.081013 71
111942.083732 73
111942.083751 73
111942.083754 73
111942.083756 71
111942.083758 73
111942.083780 73
111942.084885 73
111942.085297 73
111942.087155 71
111942.087163 73
111942.102311 71
111942.102338 71
111942.103018 71
111942.103035 71
111942.103943 71
111942.104993 71
111942.107447 71
111942.107988 71
111942.239958 73
111942.240002 73
111942.240005 73
111942.240008 73
111942.240010 73
111942.240013 73
111942.240015 73
111942.240017 73
111942.249017 73
111942.249221 73
111942.249241 73
111942.249244 73
111942.249885 73
111942.250888 73
111942.253828 73
111942.255241 73
111942.255587 73
111942.255603 73
111942.255635 73
111942.255638 73
111942.255711 73
111942.257679 73
111942.258081 73
111942.258242 73
111942.282692 72
111942.283696 72
111942.283735 72
111942.283739 72
111942.283742 72
111942.283759 72
111942.285803 72
111942.286879 72
111942.331602 72
111942.331645 72
111942.331650 72
111942.331652 72
111942.331654 72
111942.332300 72
111942.333705 72
111942.334767 72
111942.365241 72
111942.365934 72
111942.365966 72
111942.365982 72
111942.365991 72
111942.366393 72
111942.368621 72
111942.369449 72
111942.384765 71
111942.384790 71
111942.384794 71
111942.384803 71
111942.385812 71
111942.386547 71
111942.387284 71
111942.387620 71
111942.397874 72
111942.397887 72
111942.401864 72
111942.401893 72
111942.401896 72
111942.401898 72
111942.401901 72
111942.402505 72
111942.418714 73
111942.418734 73
111942.418737 73
111942.418739 73
111942.419775 73
111942.419819 73
111942.421081 73
111942.421975 73
111942.543423 72
111942.543463 72
111942.543467 72
111942.543469 72
111942.543472 72
111942.545585 72
111942.545616 72
111942.545622 72
111942.547352 72
111942.547382 72
111942.547385 72
111942.547388 72
111942.549066 72
111942.549073 72
111942.550639 72
111942.550647 72
111942.561894 73
111942.561905 73
111942.563194 73
111942.563215 73
111942.563218 73
111942.563220 73
111942.564175 73
111942.564960 73
111942.599551 72
111942.602418 72
111942.602464 72
111942.602468 72
111942.602471 72
111942.602473 72
111942.602476 72
111942.604138 72
111942.630441 72
111942.630461 72
111942.630464 72
111942.630466 72
111942.631532 72
111942.631548 72
111942.631563 72
111942.632299 72
111942.652745 73
111942.652759 73
111942.652767 73
111942.656371 73
111942.656400 73
111942.656404 73
111942.656406 73
111942.656408 73
111942.659215 73
111942.659233 73
111942.659236 73
111942.659238 73
111942.660492 73
111942.660510 73
111942.660519 73
111942.660521 73
111942.691665 73
111942.691702 73
111942.691722 73
111942.691725 73
111942.691727 73
111942.691730 73
111942.691732 73
111942.691734 73
111942.734912 73
111942.734944 73
111942.737908 73
111942.737962 73
111942.737967 73
111942.737969 73
111942.738093 73
111942.739165 73
111942.842822 72
111942.842875 72
111942.842879 72
111942.842882 72
111942.842884 72
111942.842886 72
111942.842889 72
111942.842891 72
111942.847940 73
111942.848002 73
111942.848007 73
111942.848009 73
111942.848012 73
111942.848014 73
111942.848016 73
111942.848026 73
111942.928857 72
111942.928884 72
111942.934297 72
111942.934327 72
111942.934330 72
111942.934332 72
111942.934335 72
111942.934337 72
111942.952371 73
111942.952411 73
111942.952415 73
111942.952418 73
111942.952420 73
111942.952422 73
111942.952859 73
111942.954466 73
111943.098644 71
111943.098667 71
111943.098671 71
111943.101180 71
111943.101230 71
111943.101234 71
111943.101237 71
111943.101239 71
111943.101241 71
111943.101243 71
111943.102962 71
111943.102976 71
111943.102979 71
111943.103259 71
111943.107286 70
111943.107305 70
111943.107311 70
111943.107314 70
111943.108071 70
111943.108082 70
111943.108410 70
111943.109617 71
111943.110038 71
111943.110158 70
111943.143220 72
111943.143232 72
111943.145659 72
111943.145683 72
111943.145692 72
111943.145694 72
111943.145697 72
111943.146480 72
111943.150445 73
111943.153307 73
111943.153343 73
111943.153347 73
111943.153349 73
111943.153351 73
111943.153354 73
111943.153356 73
111943.175265 71
111943.178156 71
111943.178184 71
111943.178187 71
111943.178189 71
111943.178191 71
111943.178193 71
111943.179173 71
111943.265263 72
111943.265311 72
111943.265316 72
111943.265318 72
111943.265321 72
111943.267735 72
111943.267754 72
111943.268525 72
111943.271947 71
111943.271957 71
111943.273687 71
111943.273710 71
111943.273713 71
111943.273715 71
111943.273717 71
111943.275438 71
111943.303123 72
111943.303158 72
111943.303163 72
111943.303166 72
111943.305353 72
111943.305398 72
111943.305404 72
111943.305424 72
111943.310909 72
111943.310928 72
111943.310931 72
111943.310933 72
111943.315407 73
111943.315450 73
111943.315454 73
111943.315457 72
111943.315459 73
111943.315461 72
111943.315464 72
111943.315475 72
111943.315485 73
111943.316843 73
111943.316865 73
111943.316868 73
111943.322630 71
111943.322640 71
111943.322649 71
111943.325487 71
111943.325510 71
111943.325518 71
111943.325521 71
111943.325523 71
111943.328145 73
111943.328155 73
111943.328164 73
111943.330182 73
111943.330227 73
111943.330231 73
111943.330234 73
111943.330236 73
111943.478335 71
111943.478357 71
111943.481674 71
111943.481725 71
