<<<<<<< HEAD
=======
111941.898299 72
111941.899759 72
111941.902105 72
111941.902118 72
111941.903906 73
111941.904116 73
111941.904128 73
111941.907195 73
111941.923925 73
111941.924139 73
111941.924157 73
111941.927130 73
111941.997390 71
111941.997617 71
111941.997831 71
111942.003483 71
111942.044696 71
111942.044791 71
111942.047271 71
111942.047289 71
111942.050360 72
111942.050797 72
111942.053267 72
111942.053655 72
111942.074121 72
111942.074525 72
111942.076825 72
111942.077668 72
111942.079123 71
111942.079727 71
111942.081725 71
111942.082543 73
111942.082562 71
111942.082790 73
111942.085659 73
111942.086366 73
111942.102946 71
111942.103441 71
111942.104895 71
111942.105496 71
111942.237344 73
111942.237360 73
111942.242527 73
111942.242970 73
111942.249804 73
111942.250392 73
111942.252075 73
111942.253327 73
111942.254349 73
111942.254360 73
111942.256744 73
111942.258833 73
111942.283210 72
111942.283215 72
111942.285224 72
111942.286785 72
111942.330526 72
111942.331188 72
111942.335055 72
111942.335632 72
111942.363993 72
111942.364581 72
111942.364590 72
111942.368367 72
111942.384315 71
111942.384871 71
111942.387460 71
111942.388000 71
111942.399956 72
111942.400701 72
111942.401827 72
111942.403939 72
111942.417954 73
111942.418492 73
111942.420366 73
111942.421932 73
111942.541391 72
111942.543141 72
111942.544340 72
111942.544852 72
111942.549596 72
111942.549603 72
111942.550522 72
111942.550541 72
111942.561200 73
111942.562806 73
111942.563993 73
111942.564889 73
111942.599338 72
111942.599350 72
111942.603214 72
111942.604798 72
111942.629351 72
111942.630272 72
111942.633069 72
111942.633080 72
111942.653349 73
111942.655240 73
111942.655253 73
111942.656209 73
111942.657122 73
111942.658791 73
111942.660701 73
111942.661261 73
111942.690216 73
111942.690252 73
111942.691976 73
111942.692360 73
111942.735827 73
111942.735848 73
111942.738532 73
111942.738550 73
111942.838581 72
111942.840248 72
111942.844090 72
111942.845243 73
111942.845598 73
111942.848688 72
111942.848699 73
111942.849537 73
111942.930199 72
111942.930562 72
111942.934053 72
111942.934816 72
111942.951408 73
111942.951426 73
111942.953828 73
111942.954347 73
111943.099524 71
111943.099595 71
111943.099598 71
111943.099626 71
111943.102125 71
111943.102148 71
111943.105297 71
111943.105305 71
111943.106251 70
111943.106664 70
111943.108348 70
111943.109976 70
111943.144257 72
111943.144269 72
111943.145232 72
111943.146267 72
111943.151763 73
111943.152642 73
111943.153785 73
111943.153897 73
111943.177106 71
111943.177118 71
111943.178001 71
111943.179069 71
111943.264122 72
111943.266465 72
111943.268255 72
111943.268278 72
111943.272785 71
111943.272809 71
111943.274412 71
111943.274813 71
111943.303970 72
111943.303983 72
111943.305115 72
111943.305918 72
111943.311273 72
111943.312554 72
111943.314585 73
111943.316065 73
111943.316559 72
111943.316688 73
111943.317558 72
111943.317563 73
111943.324533 71
111943.324544 71
111943.325720 71
111943.326212 71
111943.327260 73
111943.329621 73
111943.330308 73
111943.330889 73
111943.478942 71
111943.480943 71
111943.482459 71
111943.483980 71
111943.506453 74
111943.506463 74
111943.508434 74
111943.509301 74
111943.526050 72
111943.528600 72
111943.530021 71
111943.530565 71
111943.530591 72
111943.531005 71
111943.531959 72
111943.531966 71
111943.568429 71
111943.569734 71
111943.570586 71
111943.571050 71
111943.582576 73
111943.582587 73
111943.585364 70
111943.587317 70
111943.588859 73
111943.588867 70
111943.588881 73
111943.588891 70
111943.613177 73
111943.613190 73
111943.614807 73
111943.615264 73
111943.631679 72
111943.631689 72
111943.634296 72
111943.635431 72
111943.714303 71
111943.714321 71
111943.715612 71
111943.716413 71
111943.732353 73
111943.732364 73
111943.734319 73
111943.734331 73
111943.737957 73
111943.737978 73
111943.740273 73
111943.740579 73
111943.789371 72
111943.790677 72
111943.791996 72
111943.792225 72
111943.858285 71
111943.860833 71
111943.862689 71
111943.862952 71
111943.928064 73
111943.931047 73
111943.931089 73
111943.932372 73
111943.973136 72
111943.973154 72
111943.976458 72
111943.978070 72
111943.993517 71
111943.994389 71
111943.996584 71
111943.997181 71
111944.001044 70
111944.002336 70
111944.003549 70
111944.004121 70
111944.015330 71
111944.015342 71
111944.017493 71
111944.018193 71
111944.052422 72
111944.055720 72
111944.055731 72
111944.056664 72
111944.296577 71
111944.298737 71
111944.298751 71
111944.300542 71
111944.311500 74
111944.311511 74
111944.312027 74
111944.312039 74
111944.378099 69
111944.380163 69
111944.380692 69
111944.381884 69
111944.436251 70
111944.439420 70
111944.439435 70
111944.439444 70
111944.560790 72
111944.562831 72
111944.562856 72
111944.564602 72
111944.718424 73
111944.720705 73
111944.720763 73
111944.721853 73
111944.728582 71
111944.730535 71
111944.730552 71
111944.731161 71
111944.797692 72
111944.797705 72
111944.799707 72
111944.800561 72
111944.824798 73
111944.826258 73
111944.827593 73
111944.827617 73
111945.082451 72
111945.084032 72
111945.086221 72
111945.086409 72
111945.138524 71
111945.138537 71
111945.140552 71
111945.144018 71
111945.181135 73
111945.181176 73
111945.181180 73
111945.182851 73
111945.236937 73
111945.236949 73
111945.238664 73
111945.239576 73
111945.242339 71
111945.244709 71
111945.244721 71
111945.246096 71
111945.413992 72
111945.414004 72
111945.415683 72
111945.417441 72
111945.486745 71
111945.486758 71
111945.488526 71
111945.493302 71
111945.593931 71
111945.593949 71
111945.593952 71
111945.595299 71
111945.604767 72
111945.604800 72
111945.606474 72
111945.606969 72
111945.657872 72
111945.660389 72
111945.660400 72
111945.661583 72
111945.973490 71
111945.973516 71
111945.974495 71
111945.974898 71
111945.983455 73
111945.983488 73
111945.985796 73
111945.986106 73
111946.013957 71
111946.013973 71
111946.013976 71
111946.016317 71
111946.133563 73
111946.133631 73
111946.137538 73
111946.137861 73
111946.175856 69
111946.175869 69
111946.179331 69
111946.179800 69
111946.181241 73
111946.183246 73
111946.183257 73
111946.184229 73
111946.233809 74
111946.233821 74
111946.235123 74
111946.235140 74
111946.312265 73
111946.316225 73
111946.316242 73
111946.316245 73
111946.452016 72
111946.452052 72
111946.453911 72
111946.455025 72
111946.545426 73
111946.548345 73
111946.548931 73
111946.549368 73
111946.583886 72
111946.583905 72
111946.586523 72
111946.586927 72
111946.622239 72
111946.622252 72
111946.623805 72
111946.624301 72
111946.668184 72
111946.668197 72
111946.671467 72
111946.672680 72
111946.732530 72
111946.734408 72
111946.734427 72
111946.735917 72
111946.817741 72
111946.817753 72
111946.819738 72
111946.819767 72
111946.860339 73
111946.861796 73
111946.865658 73
111946.866404 73
111946.868686 73
111946.868696 73
111946.868712 73
111946.868716 73
111946.892530 73
111946.892549 73
111946.893803 73
111946.893916 73
111946.957551 73
111946.959331 73
111946.960184 73
111946.961113 73
111946.986337 73
111946.986348 73
111946.987569 73
111946.987588 73
111947.083029 73
111947.083056 73
111947.083060 73
111947.084238 73
111947.133200 72
111947.133213 72
111947.135036 72
111947.135601 72
111947.176565 73
111947.176570 71
111947.176600 71
111947.176627 73
111947.176630 73
111947.176632 71
111947.179111 73
111947.179118 71
111947.183946 73
111947.186469 73
111947.186487 73
111947.186490 73
111947.252880 73
111947.252932 73
111947.252937 73
111947.252939 73
111947.307343 73
111947.307358 73
111947.309531 73
111947.310086 73
111947.378758 71
111947.381918 71
111947.381937 71
111947.381940 71
111947.470258 73
111947.473302 73
111947.473362 73
111947.475104 73
111947.492930 73
111947.495660 73
111947.495872 73
111947.496259 73
111947.504025 73
111947.505583 73
111947.506087 73
111947.506554 73
111947.539120 72
111947.539149 72
111947.539992 72
111947.540009 72
111947.576935 72
111947.576945 72
111947.579934 72
111947.579944 72
111947.619447 71
111947.622129 71
111947.622136 71
111947.623745 71
111947.736632 73
111947.736645 73
111947.738192 73
111947.739613 73
111947.767726 70
111947.769386 70
111947.769397 70
111947.770065 70
111947.814388 73
111947.815931 73
111947.815971 73
111947.817578 73
111947.826439 73
111947.826450 73
111947.828133 73
111947.828879 73
111947.874015 73
111947.875867 73
111947.875881 73
111947.877188 73
111947.976279 72
111947.976297 72
111947.978445 72
111947.980943 72
111948.002616 71
111948.002628 71
111948.003073 71
111948.003764 71
111948.054760 73
111948.054766 73
111948.057036 73
111948.058043 73
111948.224320 73
111948.224334 73
111948.225748 73
111948.226535 73
111948.360162 73
111948.360189 73
111948.362110 73
111948.363777 73
111948.375663 72
111948.375698 72
111948.375702 72
111948.375704 72
111948.381653 72
111948.381664 72
111948.382999 72
111948.384233 72
111948.429652 72
111948.433078 72
111948.433091 72
111948.434624 72
111948.470787 73
111948.473668 73
111948.473697 73
111948.474473 73
111948.489892 74
111948.489905 74
111948.491114 74
111948.491655 74
111948.518729 72
111948.518742 72
111948.521766 72
111948.521771 72
111948.523488 72
111948.523502 72
111948.525537 71
111948.527212 71
111948.528053 71
111948.528167 72
111948.528309 72
111948.528314 71
111948.568557 73
111948.568569 73
111948.571565 73
111948.574401 73
111948.636668 72
111948.636684 73
111948.636701 73
111948.636704 72
111948.636706 72
111948.640382 73
111948.643209 72
111948.643226 73
111948.728158 74
111948.728172 74
111948.729255 74
111948.732313 74
111948.830381 72
111948.830394 72
111948.832729 72
111948.833856 72
111948.844198 72
111948.844220 72
111948.847326 72
111948.847624 72
111948.848787 71
111948.851538 71
111948.852099 71
111948.853393 71
111948.888030 72
111948.890287 72
111948.890299 72
111948.891970 72
111948.923715 73
111948.923746 73
111948.923750 73
111948.926370 73
111948.958585 72
111948.960909 72
111948.960920 72
111948.961219 72
111948.964592 73
111948.966684 73
111948.966695 73
111948.968728 73
111948.970357 73
111948.970996 73
111948.971377 73
111948.971572 73
111948.975566 73
111948.976596 73
111948.977437 73
111948.978042 73
111949.186885 72
111949.192196 72
111949.192200 70
111949.192217 72
111949.192220 70
111949.192222 70
111949.192224 72
111949.194186 70
111949.207798 73
111949.207812 73
111949.209595 73
111949.209615 73
111949.352852 71
111949.357597 71
111949.357620 71
111949.358642 71
111949.399578 73
111949.401453 73
111949.402945 73
111949.403223 73
111949.405589 73
111949.405596 73
111949.407919 73
111949.407928 73
111949.506447 72
111949.506465 72
111949.506467 72
111949.508916 72
111949.649498 73
111949.649511 73
111949.651489 73
111949.652417 73
111949.728912 71
111949.733739 72
111949.733758 72
111949.733761 71
111949.733773 71
111949.733775 72
111949.735447 71
111949.735454 72
111949.736887 72
111949.738067 72
111949.740089 72
111949.740984 72
111949.742411 72
111949.742418 72
111949.745441 72
111949.745448 72
111949.926900 71
111949.926918 71
111949.926929 71
111949.929039 71
111950.008587 73
111950.008612 73
111950.009633 73
111950.009647 73
111950.060077 72
111950.060091 72
111950.061363 72
111950.061376 72
111950.081042 71
111950.081415 71
111950.081940 71
111950.083774 71
111950.296813 73
111950.296837 73
111950.299047 73
111950.299569 73
111950.334967 70
111950.334984 70
111950.334987 70
111950.336449 70
111950.340235 72
111950.340254 72
111950.343177 72
111950.343189 72
111950.346929 73
111950.346946 73
111950.349840 73
111950.349852 73
111950.380085 73
111950.385296 73
111950.385301 72
111950.385551 72
111950.386543 73
111950.386551 72
111950.387762 73
111950.387770 72
111950.429218 71
111950.432843 71
111950.432976 71
111950.432981 71
111950.454220 72
111950.456482 72
111950.456493 72
111950.457092 72
111950.466650 71
111950.466661 71
111950.467317 71
111950.467977 71
111950.484907 72
111950.487178 72
111950.487189 72
111950.487812 72
111950.496365 73
111950.496376 73
111950.498039 73
111950.498973 73
111950.531029 73
111950.532831 73
111950.532843 73
111950.533676 73
111950.584190 70
111950.587422 70
111950.587438 70
111950.588353 70
111950.625970 71
111950.625992 71
111950.625996 71
111950.627078 71
111950.704169 72
111950.704183 72
111950.705913 72
111950.706926 72
111950.858504 18
111950.867438 18
111950.867627 18
111950.876162 38
111950.876167 38
111950.876169 38
111950.876171 38
111950.876174 73
111950.876304 73
111950.876310 38
111950.876312 38
111950.876315 37
111950.876317 37
111950.876355 37
111950.876360 38
111950.876363 37
111950.876365 37
111950.876367 37
111950.876370 73
111950.876372 37
111950.876374 38
111950.876377 18
111950.886094 73
111950.893345 73
111950.893364 38
111950.893367 37
111950.893370 38
111950.893372 37
111950.893413 37
111950.893416 37
111950.893420 38
111950.893422 38
111950.893425 37
111950.919244 73
111950.919425 73
111950.919432 73
111950.919435 73
111950.919437 73
111950.919439 73
111950.919441 73
111950.919444 73
111950.919465 73
111950.933879 73
111950.934044 73
111950.934050 73
111950.934066 73
111950.934070 38
111950.934072 38
111950.934074 37
111950.934077 38
111950.934079 37
111950.934081 38
111950.934084 37
111950.934086 38
111950.934088 38
111950.934091 38
111950.934093 37
111950.934095 38
111950.934098 38
111950.934100 37
111950.943242 73
111950.943334 73
111950.943340 73
111950.943342 73
111950.943345 73
111950.943347 73
111950.943349 73
111950.943352 73
111950.946943 73
111950.946982 73
111950.946985 73
111950.946987 73
111950.946991 73
111950.946999 73
111950.948254 73
111950.949965 73
111950.949977 73
111950.951344 73
111950.952858 73
111950.953557 73
111950.980805 73
111950.980893 73
111950.980897 73
111950.980900 73
111950.980902 73
111950.980905 73
111950.980907 73
111950.980909 73
111950.980911 73
111950.980914 73
111950.980916 73
111950.980918 73
111950.980920 73
111950.980923 73
111950.984167 73
111950.984184 73
111950.984186 73
111950.985461 73
111950.986366 73
111950.986580 73
111950.987795 73
111950.988487 73
111950.989387 73
111950.994661 72
111950.994731 72
111950.994737 72
111950.994739 72
111950.994741 72
111950.994744 72
111950.994746 72
111950.994748 72
111950.994771 72
111950.999899 72
111950.999948 72
111950.999951 72
111950.999954 72
111950.999956 72
111950.999958 72
111950.999961 72
111950.999963 72
111951.000822 72
111951.002049 72
111951.002066 72
111951.003202 72
111951.008405 72
111951.008447 72
111951.008450 72
111951.008452 72
111951.008454 72
111951.008457 72
111951.008459 72
111951.008461 72
111951.008464 72
111951.012796 72
111951.012868 72
111951.012873 72
111951.012875 72
111951.012877 72
111951.012879 72
111951.012882 72
111951.012884 72
111951.012886 72
111951.014224 72
111951.016097 72
111951.018260 72
111951.018272 72
111951.018281 72
111951.018302 72
111951.024319 72
111951.024379 72
111951.024383 72
111951.024385 72
111951.024387 72
111951.024390 72
111951.024392 72
111951.024394 72
111951.024397 72
111951.024399 72
111951.025144 72
111951.025683 72
111951.026745 72
111951.026790 72
111951.026795 72
111951.026803 72
111951.027150 72
111951.029014 72
111951.031359 72
111951.032000 72
111951.033242 72
111951.033250 72
111951.034152 72
111951.035777 72
111951.064563 72
111951.064583 72
111951.064755 72
111951.064764 72
111951.064767 72
111951.064769 72
111951.064772 72
111951.064774 72
111951.064776 72
111951.064779 72
111951.064781 72
111951.069273 72
111951.069315 72
111951.069318 72
111951.069320 72
111951.069323 72
111951.069325 72
111951.069953 72
111951.070973 72
111951.072564 72
111951.072858 72
111951.074251 72
111951.080336 70
111951.080407 70
111951.080411 70
111951.080414 70
111951.080416 70
111951.080418 70
111951.080421 70
111951.080423 70
111951.080425 70
111951.080428 72
111951.080430 70
111951.088047 71
111951.088129 71
111951.088133 71
111951.088136 70
111951.088138 71
111951.088141 70
111951.088157 71
111951.088160 70
111951.088162 70
111951.088165 71
111951.088167 71
111951.088169 71
111951.088172 70
111951.088174 70
111951.088176 70
111951.088179 70
111951.088200 71
111951.094376 71
111951.094387 71
111951.094435 71
111951.094439 71
111951.094441 71
111951.094444 71
111951.094446 71
111951.094448 71
111951.094450 70
111951.094453 71
111951.099676 73
111951.099709 73
111951.099714 70
111951.099716 71
111951.099719 73
111951.099728 73
111951.105684 73
111951.105758 73
111951.105763 73
111951.105765 73
111951.105768 73
111951.105770 73
111951.105777 73
111951.105779 73
111951.105782 73
111951.107146 73
111951.107158 73
111951.107633 70
111951.107641 71
111951.107650 73
111951.108969 73
111951.110171 73
111951.110190 73
111951.111083 73
111951.113009 70
111951.113267 71
111951.113623 73
111951.114498 70
111951.115209 71
111951.115218 73
111951.117019 71
111951.117303 73
111951.156085 72
