<<<<<<< HEAD
=======
111941.900459 72
111941.900507 72
111941.900511 72
111941.900513 72
111941.900515 72
111941.900518 72
111941.904318 73
111941.904329 73
111941.905717 73
111941.906168 73
111941.906176 73
111941.907365 73
111941.908045 72
111941.908054 73
111941.908559 72
111941.908860 73
111941.909124 72
111941.909448 73
111941.926511 73
111941.926530 73
111941.926533 73
111941.926536 73
111941.927203 73
111941.927827 73
111941.928322 73
111941.928878 73
111941.929438 73
111942.000323 71
111942.000343 71
111942.000353 71
111942.000369 71
111942.002016 71
111942.002027 71
111942.002275 71
111942.002849 71
111942.003760 71
111942.046506 71
111942.046528 71
111942.046531 71
111942.046533 71
111942.046622 71
111942.047517 71
111942.048657 71
111942.049046 71
111942.052456 72
111942.052479 72
111942.052482 72
111942.052485 72
111942.052487 71
111942.052859 72
111942.053679 72
111942.054181 72
111942.055202 72
111942.055741 72
111942.076078 72
111942.076106 72
111942.076109 72
111942.076111 72
111942.076113 72
111942.076116 72
111942.077339 72
111942.081256 71
111942.081283 71
111942.081286 71
111942.081288 71
111942.081291 72
111942.081293 72
111942.081301 71
111942.085120 73
111942.085153 73
111942.085157 73
111942.085167 71
111942.085702 73
111942.085960 73
111942.085976 73
111942.087204 71
111942.087211 73
111942.089112 71
111942.089119 73
111942.089869 71
111942.089987 73
111942.103812 71
111942.103832 71
111942.103835 71
111942.103838 71
111942.103846 71
111942.105052 71
111942.105775 71
111942.105787 71
111942.108759 71
111942.235226 73
111942.235339 73
111942.241979 73
111942.242081 73
111942.242088 73
111942.242090 73
111942.242092 73
111942.242095 73
111942.242097 73
111942.251926 73
111942.251996 73
111942.252001 73
111942.252003 73
111942.252006 73
111942.252008 73
111942.252017 73
111942.257034 73
111942.257065 73
111942.257068 73
111942.257070 73
111942.257072 73
111942.257075 73
111942.257077 73
111942.258358 73
111942.259012 73
111942.260005 73
111942.260013 73
111942.285535 72
111942.285572 72
111942.285576 72
111942.285589 72
111942.285592 72
111942.285601 72
111942.286377 72
111942.287109 72
111942.287589 72
111942.333519 72
111942.333548 72
111942.333551 72
111942.333554 72
111942.333556 72
111942.333558 72
111942.334862 72
111942.334900 72
111942.335716 72
111942.367267 72
111942.367279 72
111942.367303 72
111942.367306 72
111942.367308 72
111942.367310 72
111942.367312 72
111942.368523 72
111942.369390 72
111942.386289 71
111942.386316 71
111942.386319 71
111942.386321 71
111942.386324 71
111942.386326 71
111942.387342 71
111942.388472 71
111942.388679 71
111942.402705 72
111942.402750 72
111942.402754 72
111942.402757 72
111942.402759 72
111942.402761 72
111942.402763 72
111942.402766 72
111942.403468 72
111942.420555 73
111942.420602 73
111942.420620 73
111942.420625 73
111942.420717 73
111942.420725 73
111942.420739 73
111942.422078 73
111942.422543 73
111942.549475 72
111942.549481 72
111942.549524 72
111942.549528 72
111942.549531 72
111942.549533 72
111942.549535 72
111942.549538 72
111942.549540 72
111942.549542 72
111942.549544 72
111942.549547 72
111942.549549 72
111942.549551 72
111942.550823 72
111942.550831 72
111942.551838 72
111942.551854 72
111942.564462 73
111942.564493 73
111942.564496 73
111942.564499 73
111942.564501 73
111942.564503 73
111942.564505 73
111942.565506 73
111942.565516 73
111942.604009 72
111942.604050 72
111942.604054 72
111942.604056 72
111942.604058 72
111942.604061 72
111942.604063 72
111942.604065 72
111942.604880 72
111942.632586 72
111942.632628 72
111942.632633 72
111942.632635 72
111942.632637 72
111942.632640 72
111942.632642 72
111942.633808 72
111942.633825 72
111942.656671 73
111942.656709 73
111942.656712 73
111942.656714 73
111942.656717 73
111942.656719 73
111942.656721 73
111942.656733 73
111942.656866 73
111942.660859 73
111942.660889 73
111942.660892 73
111942.660894 73
111942.660896 73
111942.660899 73
111942.660901 73
111942.662175 73
111942.662183 73
111942.690877 73
111942.690912 73
111942.690915 73
111942.690917 73
111942.690920 73
111942.690922 73
111942.691821 73
111942.691846 73
111942.693116 73
111942.734194 73
111942.734206 73
111942.737257 73
111942.737301 73
111942.737305 73
111942.737313 73
111942.737315 73
111942.737318 73
111942.739919 73
111942.839031 72
111942.839075 72
111942.839080 72
111942.839082 72
111942.843267 72
111942.843341 72
111942.843346 72
111942.843348 72
111942.843351 72
111942.847389 73
111942.847421 73
111942.847424 73
111942.847426 73
111942.847428 73
111942.847431 73
111942.847433 73
111942.848992 73
111942.850206 73
111942.933832 72
111942.933869 72
111942.933872 72
111942.933874 72
111942.933877 72
111942.933879 72
111942.933885 72
111942.933887 72
111942.934910 72
111942.952084 73
111942.952134 73
111942.952138 73
111942.952140 73
111942.952143 73
111942.952145 73
111942.952147 73
111942.952150 73
111942.954914 73
111943.097888 71
111943.097912 71
111943.097915 71
111943.097917 71
111943.097920 71
111943.100852 71
111943.100874 71
111943.100876 71
111943.100879 71
111943.100881 71
111943.102781 71
111943.102808 71
111943.102811 71
111943.102813 71
111943.103564 71
111943.105992 70
111943.106003 71
111943.107976 70
111943.108006 70
111943.108009 70
111943.108026 70
111943.108030 70
111943.108040 70
111943.109298 70
111943.111380 71
111943.111736 71
111943.111842 70
111943.142299 72
111943.142321 72
111943.145772 72
111943.145830 72
111943.145834 72
111943.145837 72
111943.145839 72
111943.145841 72
111943.145844 72
111943.151043 73
111943.151054 73
111943.152974 73
111943.152997 73
111943.153000 73
111943.153002 73
111943.153004 73
111943.154363 73
111943.154631 73
111943.175669 71
111943.175682 71
111943.178443 71
111943.178472 71
111943.178475 71
111943.178477 71
111943.178480 71
111943.178482 71
111943.179738 71
111943.266106 72
111943.266135 72
