<<<<<<< HEAD
=======
111941.897822 72
111941.900544 72
111941.900559 72
111941.900562 72
111941.901205 72
111941.902145 72
111941.905027 73
111941.905042 73
111941.905045 73
111941.905690 73
111941.906774 73
111941.907218 73
111941.909299 72
111941.909304 73
111941.925921 73
111941.925936 73
111941.926086 73
111941.926601 73
111941.927155 73
111941.927228 73
111941.929381 73
111941.998042 71
111941.998062 71
111941.998072 71
111942.000135 71
111942.000151 71
111942.000153 71
111942.003658 71
111942.043713 71
111942.043729 71
111942.043739 71
111942.046749 71
111942.047323 71
111942.048029 71
111942.051364 72
111942.051393 72
111942.051396 72
111942.051399 72
111942.051401 71
111942.052553 72
111942.053298 72
111942.055697 72
111942.074355 72
111942.075528 72
111942.075565 72
111942.075570 72
111942.076847 72
111942.078197 72
111942.078734 72
111942.079898 71
111942.080475 71
111942.080501 71
111942.081391 71
111942.081746 71
111942.083062 73
111942.083856 73
111942.083873 73
111942.083890 73
111942.085681 73
111942.087773 71
111942.087909 73
111942.088977 71
111942.088984 73
111942.102539 71
111942.102576 71
111942.102580 71
111942.102582 71
111942.104971 71
111942.105091 71
111942.106562 71
111942.239638 73
111942.239657 73
111942.239661 73
111942.239670 73
111942.240491 73
111942.241017 73
111942.242551 73
111942.250813 73
111942.250833 73
111942.250843 73
111942.251495 73
111942.253626 73
111942.253650 73
111942.253653 73
111942.254788 73
111942.255728 73
111942.256218 73
111942.258927 73
111942.258937 73
111942.259790 73
111942.259801 73
111942.283591 72
111942.283786 72
111942.284029 72
111942.284402 72
111942.286852 72
111942.286970 72
111942.288091 72
111942.331372 72
111942.331944 72
111942.331975 72
111942.332712 72
111942.333998 72
111942.335673 72
111942.336439 72
111942.365538 72
111942.366365 72
111942.366375 72
111942.366742 72
111942.368422 72
111942.368432 72
111942.369785 72
111942.383781 71
111942.384899 71
111942.384925 71
111942.384928 71
111942.385640 71
111942.387263 71
111942.388022 71
111942.400890 72
111942.400911 72
111942.400914 72
111942.400916 72
111942.401573 72
111942.402862 72
111942.403961 72
111942.417301 73
111942.417327 73
111942.419594 73
111942.419604 73
111942.421002 73
111942.421954 73
111942.422740 73
111942.542106 72
111942.542121 72
111942.543238 72
111942.543806 72
111942.543832 72
111942.546356 72
111942.546366 72
111942.547018 72
111942.547036 72
111942.549027 72
111942.550578 72
111942.550586 72
111942.552174 72
111942.552321 72
111942.561085 73
111942.563001 73
111942.563017 73
111942.563020 73
111942.563726 73
111942.564922 73
111942.565966 73
111942.600115 72
111942.602169 72
111942.602196 72
111942.602199 72
111942.602201 72
111942.604342 72
111942.604821 72
111942.629694 72
111942.629711 72
111942.629714 72
111942.631203 72
111942.631214 72
111942.633154 72
111942.634400 72
111942.652521 73
111942.652533 73
111942.655689 73
111942.655714 73
111942.655718 73
111942.655720 73
111942.658080 73
111942.658091 73
111942.660327 73
111942.660342 73
111942.660345 73
111942.661281 73
111942.662496 73
111942.662727 73
111942.688653 73
111942.691596 73
111942.691626 73
111942.691631 73
111942.691633 73
111942.692385 73
111942.692402 73
111942.735464 73
111942.735495 73
111942.735499 73
111942.735501 73
111942.737452 73
111942.737491 73
111942.738898 73
111942.840417 72
111942.840561 72
111942.843503 72
